Farbe,Anzahl
"(15, 16, 8)",70
"(15, 16, 10)",169
"(15, 16, 11)",253
"(15, 16, 18)",19
"(15, 16, 20)",5
"(15, 17, 0)",2
"(15, 17, 3)",14
"(15, 17, 4)",11
"(15, 17, 6)",49
"(15, 17, 12)",54
"(15, 17, 14)",100
"(15, 17, 16)",242
"(15, 18, 0)",8
"(15, 18, 1)",6
"(15, 18, 7)",9
"(15, 18, 9)",39
"(15, 18, 11)",21
"(15, 19, 2)",2
"(15, 19, 4)",4
"(15, 19, 5)",4
"(15, 19, 18)",18
"(15, 19, 20)",11
"(15, 19, 22)",9
"(15, 20, 0)",4
"(15, 20, 13)",2
"(15, 20, 14)",10
"(15, 20, 16)",12
"(15, 20, 23)",3
"(15, 20, 24)",1
"(15, 21, 19)",1
"(15, 21, 21)",10
"(15, 22, 4)",1
"(15, 22, 6)",1
"(15, 22, 15)",1
"(15, 22, 28)",4
"(15, 23, 2)",1
"(15, 24, 3)",1
"(15, 27, 5)",3
"(16, 3, 0)",3
"(16, 4, 4)",1
"(16, 5, 0)",4
"(16, 5, 1)",4
"(16, 5, 3)",1
"(16, 6, 0)",8
"(16, 6, 4)",12
"(16, 6, 5)",6
"(16, 7, 0)",15
"(16, 7, 2)",20
"(16, 7, 8)",7
"(16, 7, 10)",2
"(16, 8, 0)",2
"(16, 8, 5)",69
"(16, 8, 6)",33
"(16, 8, 21)",1
"(16, 9, 0)",20
"(16, 9, 1)",85
"(16, 9, 3)",110
"(16, 10, 0)",4
"(16, 10, 10)",17
"(16, 10, 12)",5
"(16, 10, 14)",2
"(16, 11, 5)",36
"(16, 11, 7)",49
"(16, 11, 8)",24
"(16, 11, 15)",22
"(16, 11, 17)",2
"(16, 12, 0)",3
"(16, 12, 1)",1
"(16, 12, 3)",14
"(16, 12, 9)",49
"(16, 12, 11)",30
"(16, 12, 13)",67
"(16, 13, 0)",1
"(16, 13, 4)",17
"(16, 13, 6)",111
"(16, 13, 8)",76
"(16, 13, 20)",1
"(16, 13, 22)",1
"(16, 14, 0)",3
"(16, 14, 1)",5
"(16, 14, 2)",7
"(16, 14, 15)",925
"(16, 14, 17)",256
"(16, 14, 19)",12
"(16, 14, 25)",2
"(16, 14, 28)",2
"(16, 15, 0)",11
"(16, 15, 10)",307
"(16, 15, 11)",267
"(16, 15, 13)",211
"(16, 15, 20)",22
"(16, 15, 21)",6
"(16, 15, 23)",5
"(16, 16, 4)",19
"(16, 16, 6)",63
"(16, 16, 8)",109
"(16, 16, 14)",1148
"(16, 16, 16)",1571
"(16, 16, 18)",486
"(16, 16, 24)",1
"(16, 17, 0)",4
"(16, 17, 1)",10
"(16, 17, 3)",10
"(16, 17, 9)",128
"(16, 17, 11)",209
"(16, 17, 12)",235
"(16, 17, 19)",21
"(16, 17, 21)",5
"(16, 17, 22)",1
"(16, 18, 4)",21
"(16, 18, 5)",21
"(16, 18, 7)",63
"(16, 18, 13)",40
"(16, 18, 15)",117
"(16, 18, 17)",294
"(16, 19, 0)",2
"(16, 19, 2)",19
"(16, 19, 8)",6
"(16, 19, 10)",41
"(16, 19, 12)",30
"(16, 20, 3)",3
"(16, 20, 5)",4
"(16, 20, 6)",7
"(16, 20, 19)",19
"(16, 20, 21)",17
"(16, 20, 23)",15
"(16, 21, 0)",1
"(16, 21, 1)",3
"(16, 21, 15)",13
"(16, 21, 17)",11
"(16, 21, 24)",7
"(16, 21, 25)",4
"(16, 22, 18)",1
"(16, 22, 20)",4
"(16, 22, 22)",13
"(16, 23, 5)",2
"(16, 23, 16)",1
"(16, 23, 29)",1
"(16, 24, 1)",1
"(16, 25, 4)",2
"(16, 25, 6)",1
"(16, 25, 22)",1
"(16, 27, 21)",1
"(16, 28, 6)",2
"(17, 1, 4)",1
"(17, 3, 2)",1
"(17, 4, 0)",1
"(17, 5, 5)",1
"(17, 5, 7)",1
"(17, 6, 0)",4
